COUNTRY,PC_HEALTHXP_growth,PC_GDP_growth,USD_CAP_growth,PC_HEALTHXP_avg,PC_GDP_avg,USD_CAP_avg,PC_HEALTHXP_volatility,PC_GDP_volatility,USD_CAP_volatility
AUS,-2.706263713888324,-0.24900146118953526,1.734883411682242,13.103399999999999,1.2641,611.4605,1.357887836965107,0.040280819808494926,34.19402649992796
AUT,-0.14548437366435074,1.2766247049524448,3.2357836385544125,12.064400000000001,1.2570999999999999,615.2524000000001,0.15673062524244827,0.04614337559293968,55.77253633823731
BEL,-2.1639024516440397,-1.3206076910907805,1.2275615954914443,12.0686,1.2933999999999999,582.9294,0.7822313099219579,0.06050381071561611,27.40852451823459
CAN,-2.514451213776847,-0.011966017655407057,1.1503801005199987,16.4811,1.7931000000000001,799.7810000000001,1.008083269267859,0.05282981060811113,43.787058587872494
CHE,0.5537329576729588,2.304421815309654,3.902979554769126,10.4399,1.1219,649.7470999999999,0.2296550311517972,0.07338551173994318,71.14741500957327
CRI,-6.418785127795445,-6.784737373191985,-3.044643570801553,12.0081,0.9121,163.3874,3.0101224209139534,0.2510623871116944,29.89297408422254
CYP,-1.341332416547092,1.6327569027370759,3.5292154955902655,16.8244,1.1594,391.0614,1.4895384967611056,0.08006414095377949,58.28967733312646
CZE,-2.737906617167185,-0.5765634356250104,3.220690029039197,17.6841,1.3542,489.1412,1.5667827226517408,0.1063284220391394,42.426044293570435
DEU,-0.5103617432712926,1.3140520309586234,4.235138615898837,14.1351,1.6008,790.7067999999999,0.2720741116354548,0.058575307653197003,102.02328328463942
DNK,-1.7847958418322096,-1.6027613111409322,1.423713176576591,6.7874,0.6992,330.5741,0.38686408753232976,0.046367613218232004,20.13592383693053
ESP,-0.8788459515025049,0.8881445538503563,2.5596178231857447,15.562999999999999,1.4367,484.8308,0.5134002120936234,0.07993198497611717,43.20295360221979
EST,-2.285612009388016,0.14335058625938313,4.707095187762356,17.774,1.1662,358.06530000000004,1.1491037086935771,0.026894030729678463,50.43027774627727
FIN,-0.151584065781174,0.3242645379859077,2.6466820824222914,12.2447,1.1554,501.1058,0.22499730862587883,0.02441857216682964,40.051614679061316
FRA,-1.0255308595642276,-0.12675252590974573,1.9921887204955357,14.2454,1.6257000000000001,681.2639,0.5231454439785899,0.0660842055427938,37.27462966043016
GRC,-0.2840227382311489,0.08553696447803905,0.6327637200133518,28.5476,2.4333,637.8403999999999,1.2391834408189943,0.24760140459124133,59.4031443952628
HRV,-3.9071782215363227,-3.5349608430324198,0.026203857661033503,23.330199999999998,1.6251000000000002,389.6939,3.7791479874584324,0.3366532835623815,53.684000135463485
HUN,-3.389302178556053,-3.6736458255499094,0.12673018170719086,29.487000000000002,2.0675,577.0771000000001,2.7963480152195324,0.28549810273742066,24.22328153037899
IRL,-2.316122798911069,-6.56079402594445,0.43690954319861586,12.7471,1.0782,580.8226999999999,0.9320069682619807,0.28845943292678866,24.294045631022886
ISL,-3.415730715531917,-1.6882570138959552,0.25075085713577305,12.5937,1.0525,482.1738,1.7484604688442666,0.13382596492791998,27.910431322754988
ISR,1.7503511070621203,3.11320653395164,5.467688752445343,13.394,0.9554,330.1631,0.8473516913825624,0.09179348802853313,52.1863339144774
ITA,-0.5443713135351858,0.48229279963958316,1.5970716093094417,17.6182,1.5577,578.4642,0.5839398370836955,0.06881222436618534,55.286289320630274
JPN,-0.48828006228137655,0.04474529154703255,1.8719921514608995,18.862299999999998,2.0248999999999997,817.9544,0.8369258629054306,0.10227245746316818,68.15158105804379
KOR,-2.234214542422852,1.57948317818275,4.709849207952543,21.5209,1.4741,554.6780000000001,1.6793692235148545,0.09581979614533388,84.63988156891527
LTU,-2.0427713075823473,-0.47603909389691834,5.43434702660528,25.5188,1.6684,517.9147,2.745684727389914,0.12061527450718847,71.12269774450034
LUX,2.2089082231374846,1.8007231352250352,4.009087526161603,11.2699,0.6006,556.1423,1.0174468536488774,0.03649718406184847,48.91775668530008
LVA,-1.4447103140216466,1.157218468818444,6.839111709312218,26.125700000000002,1.5565,403.3088,1.7104712833342486,0.11295648129552678,86.694987660828
MEX,-0.5412331312833585,0.7940515550104665,2.7884475000628184,22.622700000000002,1.2737,239.7192,0.5092947302125,0.044080860044039716,17.444064828282798
NLD,-3.329721920009454,-2.347272326566674,-0.003594449263666366,7.728700000000001,0.8032,398.1143,0.6567676825856232,0.06444773937936935,19.40065733737447
NOR,-1.1885866620426122,1.6231581128924866,1.9535629393764298,7.5172,0.7358,440.63739999999996,0.28955552144623337,0.05083917999163855,29.26810091474258
POL,-2.217356561073025,-1.8599555375315657,2.4952031110749173,21.233,1.3618999999999999,398.2795,1.3117062679324702,0.07064535842266408,38.008354991589236
PRT,-1.7390198831130022,-0.8514769046568116,1.719139951869808,15.8773,1.5191,441.95169999999996,1.111212555924582,0.13242561853525334,37.90229232308314
ROU,-4.759282560785172,-1.1986369295327148,5.269297905988979,31.5094,1.6143999999999998,393.2869,5.825136740407427,0.20828303392792746,60.31480953473291
SVK,-2.102396174974952,-2.3574421497010833,-1.297866058539665,26.2351,1.8483,538.9135,1.3987814101328808,0.14172982905671064,23.823875896298322
SVN,-1.37872287848948,-0.2759782235422059,2.8704696613974567,18.582900000000002,1.5956,511.7111,1.0282780049945444,0.10334537564238994,45.05520778987583
SWE,-0.892518822937094,0.04067111754084696,1.913582943736336,10.023,1.0876000000000001,506.60249999999996,0.28276609886382487,0.022016155684204113,27.936901781813003
